City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
146,cedeira,43.6797,-8.0209,13.24,77,28,1.35,ES,1715039958
147,uturoa,-16.7333,-151.4333,27.74,80,51,9.66,PF,1715039958
148,nieuw amsterdam,5.8833,-55.0833,28.01,78,40,2.57,SR,1715039958
149,marsh harbour,26.5412,-77.0636,24.06,75,4,7.25,BS,1715039959
150,holmen,43.9633,-91.2562,24.23,31,0,4.63,US,1715039959
151,hermanus,-34.4187,19.2345,17.28,65,48,2.81,ZA,1715039959
152,badger,64.8,-147.5333,1.31,90,100,3.09,US,1715039848
153,lodja,-3.4833,23.4333,22.42,68,9,1.1,CD,1715039720
154,kingscliff,-28.2667,153.5667,22.07,94,75,5.66,AU,1715039664
155,sittwe,20.15,92.9,27.58,74,90,2.18,MM,1715039959
156,kasempa,-13.4584,25.8338,18.01,77,44,2.08,ZM,1715039960
157,hennenman,-27.9765,27.0242,13.82,30,0,3.69,ZA,1715039960
158,raja,8.4596,25.678,30.92,33,98,1.25,SS,1715039960
159,maceio,-9.6658,-35.7353,26.69,89,100,2.57,BR,1715039960
160,lompoc,34.6391,-120.4579,23.72,54,0,9.83,US,1715039960
